,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
70,Barbie,100.78751,0.26239,-103.58023,-1.26081,200.84965,-140.94120,Casahouse,1.83273,-0.59560,12.23493,-5.10977,True,452.14744
71,Allan,99.66145,-0.36031,-96.62850,-1.23169,199.71655,-136.09105,Beach,1.10544,0.21176,10.54748,1.92733,True,449.99300
72,Allan,99.58603,-0.79056,-98.39559,-1.29895,199.65935,-149.24575,Beach,-0.11138,-1.10103,9.17327,2.43479,True,448.73236
73,Ken,100.71708,1.43891,-97.68392,-1.27251,200.78455,-145.33164,Casahouse,1.64923,-1.05154,12.19220,-1.18656,True,454.74346
74,Ken,98.85694,-0.61013,-94.50570,-1.28323,198.92488,-143.16820,Horses,1.94985,-0.24212,11.84780,-0.72681,True,447.03184
75,Barbie,100.46618,0.22867,-103.01631,-1.27901,200.53340,-146.57025,Casahouse,2.42204,-1.52275,11.93786,-1.74370,True,450.82274
76,Ken,99.56807,0.57547,-102.08455,-1.27201,199.63406,-144.96341,Beach,-1.07543,-2.34761,13.56960,0.30863,True,446.79810
77,Barbie,100.73908,1.07625,-101.70520,-1.27127,200.80441,-147.33353,Casahouse,0.20794,0.37368,10.23140,-0.95555,True,452.84278
78,Barbie,101.98070,0.95391,-103.97001,-1.26756,202.04485,-143.67483,Mojodojo,0.72415,-0.98196,10.12824,-1.06972,True,457.91848
79,Barbie,100.45796,-0.48592,-93.97229,-1.23546,200.51388,-137.47237,Casahouse,-1.50958,-0.83415,10.75216,-2.62570,True,455.30364
80,Barbie,99.31480,-0.56092,-100.08784,-1.27117,199.37988,-142.30215,Beach,-0.50949,0.59164,10.32713,-2.07374,True,446.53009
81,Allan,101.54720,1.38544,-101.26715,-1.23907,201.60546,-136.48098,Mojodojo,0.58330,-0.32193,10.71207,1.62798,True,457.10243
82,Barbie,98.77978,-0.30651,-98.83826,-1.25266,198.84002,-139.12472,Horses,0.71961,-1.41141,11.73173,-3.41152,True,444.47978
83,Allan,99.61119,1.05893,-94.55615,-1.28443,199.68166,-145.03400,Beach,0.18272,0.44005,11.59890,2.88805,True,450.77785
84,Allan,99.89873,-0.31355,-99.92901,-1.24624,199.95864,-140.50467,Beach,-0.31699,-0.12414,12.87943,1.26263,True,449.52917
85,Barbie,100.74492,-0.46481,-102.42898,-1.26257,200.80802,-144.35531,Casahouse,0.08736,1.45195,10.75106,-0.70556,True,452.51011
86,Ken,100.08938,0.28732,-101.37689,-1.28859,200.15844,-149.09891,Casahouse,-0.23440,-0.52465,9.06627,0.57523,True,449.75844
87,Barbie,98.40519,-0.88456,-98.92616,-1.25256,198.46520,-139.37479,Horses,2.16602,1.70152,11.92328,-3.43735,True,442.56286
88,Ken,99.37291,-0.30734,-101.25063,-1.28321,199.44172,-144.89041,Beach,-1.42654,-1.03659,8.50276,3.66847,True,446.23924
89,Ken,97.69540,0.33447,-94.50011,-1.28245,197.76281,-141.09407,Horses,0.16238,1.16677,13.08015,-0.38243,True,441.22696
90,Barbie,100.15761,0.75897,-100.66967,-1.28895,200.22780,-147.88919,Casahouse,-3.13713,2.66570,11.82768,-2.09944,True,450.45320
91,Barbie,99.30100,0.01938,-100.28521,-1.28802,199.37047,-147.45540,Beach,-1.15132,0.90277,10.27058,-2.12168,True,446.36241
92,Allan,100.91797,0.74621,-104.71014,-1.23216,200.97479,-136.89660,Casahouse,-0.81546,0.12602,10.77162,-2.13763,True,452.23476
93,Allan,102.14727,1.56645,-101.48565,-1.26568,202.21191,-146.05821,Sublime,-0.22824,-0.10195,11.75765,2.17205,True,459.99353
94,Ken,101.15800,0.28524,-96.06241,-1.27929,201.22629,-147.11877,Mojodojo,0.47002,0.64595,9.56104,0.20803,True,457.75879
95,Allan,100.46998,0.45564,-98.94685,-1.24624,200.53053,-141.00113,Casahouse,1.06477,0.12190,9.59070,2.66897,True,452.87650
96,Barbie,99.30568,0.10983,-101.94660,-1.27208,199.37099,-144.33097,Beach,-0.79717,2.00293,11.69037,-2.72396,True,445.55512
97,Ken,97.73779,-0.33276,-101.93968,-1.26042,197.80173,-137.18478,Horses,0.70775,3.71086,10.38293,-1.71767,True,437.71912
98,Allan,100.31607,-0.25962,-100.57277,-1.26982,200.38210,-143.51824,Casahouse,-0.04165,0.15850,9.61485,0.47968,True,451.29395
99,Ken,100.20499,-0.17091,-102.23310,-1.25669,200.26768,-142.30303,Casahouse,0.66125,1.57843,8.21310,2.55802,True,449.90843
100,Barbie,101.11760,0.63367,-97.56937,-1.23233,201.17267,-142.58984,Mojodojo,-0.35126,0.62370,10.78130,-3.42558,True,456.80333
101,Barbie,99.56090,0.66880,-101.42408,-1.26338,199.62416,-142.19460,Beach,0.08233,-1.11007,11.65547,-3.91898,True,447.09245
102,Allan,101.18364,-0.56820,-100.77477,-1.24817,201.24491,-142.53947,Mojodojo,-0.07669,-0.11546,12.84337,2.30746,True,455.53082
103,Allan,99.66406,-0.66730,-101.48061,-1.23692,199.72219,-138.98387,Beach,0.36106,0.12810,11.62942,4.88513,True,447.57999
104,Allan,100.01593,-0.12650,-103.85042,-1.24123,200.07464,-138.20344,Casahouse,0.07280,-0.65046,11.14637,2.50548,True,448.15444
105,Allan,99.63174,-0.41249,-97.52092,-1.23197,199.68760,-134.64130,Beach,0.57868,-1.05268,9.46812,0.38145,True,449.39823
106,Barbie,100.78350,-0.28105,-99.18791,-1.25631,200.84462,-140.49533,Casahouse,0.51440,0.80714,12.65064,-1.68554,True,454.32356
107,Ken,100.28494,1.08403,-100.04473,-1.27739,200.35358,-147.76675,Casahouse,0.39011,-1.86386,10.19966,-0.26819,True,451.40235
108,Ken,100.78386,1.02799,-98.35215,-1.28106,200.85252,-145.44922,Casahouse,-1.75574,0.87689,12.88965,0.03943,True,454.74325
109,Barbie,99.91728,0.86809,-99.01487,-1.27417,199.98340,-146.16677,Beach,2.27317,-2.05140,12.61843,-1.65704,True,450.07898
110,Allan,98.53327,0.41751,-102.04606,-1.22929,198.58838,-133.60128,Horses,-0.74239,-0.86214,9.05475,2.19068,True,441.64332
111,Barbie,100.12054,-0.80871,-100.72111,-1.26465,200.18428,-142.87930,Casahouse,3.12001,-0.96202,10.03000,-1.16049,True,450.24212
112,Ken,101.05162,1.52305,-102.35073,-1.28099,201.12060,-146.48211,Mojodojo,0.91080,-0.78398,13.97992,-1.72188,True,454.08272
113,Barbie,101.71267,1.33066,-104.96359,-1.26402,201.77565,-143.90881,Mojodojo,0.96834,-0.27344,10.07788,-2.01976,True,456.08156
114,Ken,98.45287,-0.02828,-95.24635,-1.27529,198.52033,-142.76645,Horses,0.05954,1.27802,13.20896,0.95543,True,444.64119
115,Ken,98.44080,0.08720,-100.61546,-1.26526,198.50545,-141.34779,Horses,-0.94424,-1.61554,11.04184,-0.05407,True,441.89627
116,Barbie,101.72326,0.28432,-96.83292,-1.28080,201.79139,-147.45216,Mojodojo,4.52525,-3.00654,10.27872,-3.49645,True,460.19986
117,Allan,99.40116,0.29625,-98.66932,-1.25217,199.46195,-139.05022,Beach,-0.61411,0.36513,10.53318,1.90966,True,447.67113
118,Barbie,100.16744,-1.16793,-105.11852,-1.27764,200.23422,-146.57733,Casahouse,2.02437,-0.67330,11.59219,-2.37796,True,448.27795
119,Ken,99.25681,-0.65612,-96.87668,-1.27982,199.32407,-146.73045,Beach,1.33866,1.29176,12.89762,0.37452,True,447.84572
120,Allan,100.11588,-0.13386,-100.56780,-1.26118,200.17934,-142.42562,Casahouse,0.01812,0.12655,11.85649,0.44452,True,450.29549
121,Barbie,100.10689,-0.25848,-99.57729,-1.27657,200.17330,-142.91071,Casahouse,-2.41426,0.75933,10.52931,-0.13128,True,450.74582
122,Barbie,99.73349,-0.25338,-106.05339,-1.25324,199.79369,-140.71600,Beach,1.26305,0.36892,7.97619,-2.36135,True,445.64075
123,Allan,101.41359,0.09550,-102.12461,-1.24304,201.47252,-142.95490,Mojodojo,-0.23691,0.68892,10.70805,2.64043,True,456.00563
124,Barbie,99.86727,-0.03591,-106.11998,-1.27684,199.93416,-143.62840,Beach,-0.62076,1.72621,13.23075,-4.12442,True,446.27638
125,Barbie,99.91197,0.35733,-105.02927,-1.23892,199.96850,-137.13877,Beach,2.94967,0.45761,10.36141,-3.04027,True,447.04523
126,Ken,101.18058,1.14390,-98.83585,-1.25625,201.24355,-142.13691,Mojodojo,0.97978,-0.40478,12.05129,-0.65374,True,456.48500
127,Ken,100.28110,0.60432,-102.47327,-1.28419,200.34988,-148.71922,Casahouse,1.83630,3.10453,12.84196,-1.87456,True,450.16889
128,Ken,98.77915,0.37696,-95.70093,-1.29192,198.84969,-148.31918,Horses,0.41421,0.68204,12.89503,-0.53264,True,446.04529
129,Ken,101.78455,0.10219,-101.99931,-1.26419,201.84950,-145.75052,Mojodojo,1.76952,-0.02731,11.09097,-0.55640,True,457.92307
130,Barbie,99.59923,-1.07762,-99.86975,-1.27679,199.66579,-146.32742,Beach,-0.52212,-0.69515,11.93518,-3.30071,True,448.06129
131,Allan,100.12695,0.22642,-103.32141,-1.30421,200.20328,-153.13278,Casahouse,-0.29044,0.20833,10.66343,3.27637,True,448.97405
132,Barbie,99.57242,1.36450,-106.26218,-1.26891,199.63705,-143.57670,Beach,-1.66903,1.40456,11.22323,-0.27220,True,444.73100
133,Barbie,99.25230,-0.43868,-97.34216,-1.24258,199.30948,-135.82580,Beach,-1.73466,1.53340,12.56656,-1.95443,True,447.59040
134,Allan,98.71721,-1.02898,-98.76860,-1.30699,198.79324,-148.34774,Horses,-0.15145,0.31773,10.92097,-0.97540,True,444.20174
135,Ken,99.45384,-0.24252,-94.82782,-1.27567,199.52059,-142.56111,Beach,-2.24299,-0.93764,13.61892,-0.52354,True,449.85527
136,Allan,102.01352,-0.13844,-102.84732,-1.27301,202.07994,-145.57256,Sublime,-0.85651,0.17314,9.32732,-0.24257,True,458.64396
137,Allan,99.07035,0.13177,-107.13576,-1.30621,199.14552,-151.44793,Beach,-0.03956,-0.31350,11.79775,1.60282,True,441.78386
138,Allan,98.83017,-0.26421,-96.46946,-1.26987,198.89658,-142.61145,Horses,-0.08190,0.33797,12.36762,1.96517,True,445.91610
139,Barbie,99.96744,-0.83462,-97.77470,-1.28647,200.03709,-144.03084,Beach,1.29236,1.44177,10.16665,-0.58136,True,450.94985
140,Ken,97.30237,0.50049,-99.59789,-1.27523,197.36828,-141.32182,Horses,-1.25582,-0.36856,12.81097,-0.18068,True,436.71293
141,Barbie,100.79683,-0.04440,-96.48420,-1.27605,200.86309,-146.68953,Casahouse,2.32257,-0.33456,11.64161,0.06077,True,455.74204
142,Allan,99.02732,-1.30444,-101.27883,-1.24325,199.08664,-137.23447,Beach,-0.76570,-1.25940,10.46591,1.43093,True,444.49716
143,Allan,99.53286,1.01264,-102.44338,-1.22160,199.58665,-133.22420,Beach,0.03532,-0.30135,11.49126,3.66345,True,446.44261
144,Allan,99.91163,0.82736,-97.92841,-1.26570,199.97740,-140.47753,Beach,0.71952,0.35069,7.75255,0.04818,True,450.59392
145,Allan,99.70076,0.14879,-99.43450,-1.28203,199.77098,-148.49647,Beach,-0.41230,-0.86691,9.15040,1.14584,True,448.78658
146,Barbie,100.56990,0.31485,-100.49040,-1.24903,200.62934,-141.35916,Casahouse,-0.55625,1.59398,11.83469,-4.23161,True,452.60428
147,Allan,98.47198,-0.23509,-102.18074,-1.30441,198.54822,-147.67742,Horses,0.29401,0.67905,12.25145,2.66892,True,441.26952
148,Barbie,101.27066,1.29710,-105.56917,-1.26267,201.33349,-142.12537,Mojodojo,-1.05178,-0.75041,11.61695,-0.91949,True,453.56873
149,Ken,100.76416,1.16652,-103.20249,-1.29226,200.83399,-150.13850,Casahouse,1.13488,-0.53590,13.75717,-1.10314,True,452.21955
150,Ken,99.73255,-0.19183,-98.35742,-1.28873,199.80225,-147.63661,Beach,0.88385,-0.29330,8.44162,4.41449,True,449.48403
151,Barbie,100.52296,0.11929,-98.30152,-1.26837,200.58765,-147.09475,Casahouse,0.91516,0.72810,12.11260,-0.20686,True,453.46404
152,Allan,100.85635,1.09188,-99.85327,-1.26227,200.92085,-144.95901,Casahouse,-1.19493,0.89144,10.96706,1.80898,True,454.35509
153,Barbie,100.05255,-0.12869,-101.22203,-1.27241,200.11824,-147.09407,Casahouse,-0.38923,0.90557,10.95146,-0.17815,True,449.65175
154,Barbie,98.63514,-0.43910,-100.36949,-1.28245,198.70314,-145.06149,Horses,1.07850,0.13034,10.92788,-1.23846,True,442.99096
155,Barbie,100.31271,0.26953,-97.89629,-1.28194,200.38118,-145.88457,Casahouse,0.31900,1.68931,10.99004,-0.46020,True,452.61538
156,Barbie,101.16262,-0.53044,-106.48028,-1.26796,201.22738,-143.92213,Mojodojo,-0.52652,0.88018,10.32886,-1.45391,True,452.57293
157,Ken,99.84169,-0.81150,-98.75433,-1.27520,199.90713,-145.69931,Beach,2.34228,0.94213,13.09657,0.31002,True,449.83128
158,Allan,99.91548,-0.20217,-101.37245,-1.29200,199.98771,-148.05732,Beach,0.19646,0.31819,13.02043,3.96716,True,448.89117
159,Ken,99.80878,-0.10541,-102.67314,-1.28004,199.87531,-143.35306,Beach,-0.16289,-1.59750,12.13044,-0.64500,True,447.70734
160,Barbie,99.31596,-0.59067,-100.33900,-1.23428,199.37108,-132.26189,Beach,-1.80791,-1.61775,9.42229,-2.91175,True,446.41032
161,Barbie,101.18885,1.23468,-98.88128,-1.29361,201.26011,-153.37871,Mojodojo,-0.74970,-0.58183,10.51253,-3.58293,True,456.50359
162,Allan,100.32076,-0.27469,-97.71500,-1.26859,200.38590,-144.86644,Casahouse,0.59019,-0.40745,10.11745,1.19901,True,452.74628
163,Ken,98.07253,-0.19998,-101.47110,-1.27524,198.14006,-143.83521,Horses,3.51487,0.17283,11.89373,-1.48430,True,439.62711
164,Ken,97.71166,-0.58956,-93.41584,-1.27884,197.77939,-143.24623,Horses,-1.46789,-1.78232,11.20198,-0.07636,True,441.85040
165,Barbie,100.03773,1.93662,-101.81508,-1.26204,200.10038,-141.53311,Casahouse,-2.93786,3.62685,9.67374,-2.28135,True,449.28113
166,Ken,98.69081,0.97586,-95.00864,-1.28233,198.76028,-144.26412,Horses,-1.31058,-1.77333,12.20480,-1.97994,True,445.94973
167,Allan,99.58242,0.96760,-95.46169,-1.22851,199.63691,-135.15541,Beach,0.15129,0.18924,10.54716,1.94902,True,450.18126
168,Barbie,99.39850,0.25676,-96.31167,-1.27131,199.46398,-145.51276,Beach,-0.90336,1.98818,11.34040,-1.76008,True,448.83668
169,Ken,99.83036,0.38748,-99.52626,-1.28416,199.89991,-147.93510,Beach,1.46204,-0.41539,10.83845,-2.56396,True,449.38868
170,Allan,100.06145,0.66318,-106.27000,-1.24532,200.12020,-142.52517,Casahouse,-1.10622,-0.25122,13.17909,5.07682,True,447.17226
171,Ken,98.63120,0.62277,-96.84379,-1.29240,198.70146,-149.28106,Horses,0.36201,-0.07163,10.95163,-2.84747,True,444.73412
172,Ken,101.40361,-0.29814,-98.81933,-1.26996,201.46982,-145.36362,Mojodojo,-0.47214,0.67039,9.10276,1.22001,True,457.60837
173,Ken,100.05440,0.02229,-100.50884,-1.28345,200.12410,-146.82882,Casahouse,-3.05370,-0.26670,13.74068,-1.21490,True,450.01758
174,Barbie,99.79965,0.13433,-95.83504,-1.25270,199.86012,-142.80237,Beach,0.82815,-0.47048,11.78410,-0.96196,True,451.08075
175,Barbie,99.11954,-2.17403,-98.64050,-1.28504,199.18887,-146.51440,Beach,-2.46193,1.70840,11.61712,0.89852,True,446.27744
176,Barbie,100.70853,0.39449,-100.83302,-1.24030,200.76512,-136.84575,Casahouse,0.92757,-0.10412,11.30169,-1.04451,True,453.12613
177,Barbie,100.73495,-0.08322,-95.57839,-1.28187,200.80309,-146.87010,Casahouse,0.99581,-0.20973,10.93947,-2.56692,True,455.88558
178,Barbie,100.89396,-0.52265,-104.72741,-1.26604,200.95757,-144.49439,Casahouse,0.16458,1.08189,11.33859,-2.76576,True,452.10611
179,Ken,100.66855,0.86982,-100.83940,-1.26138,200.73170,-143.92446,Casahouse,-0.35128,3.10693,10.46546,1.12116,True,452.92303
180,Barbie,100.99158,0.26027,-102.74004,-1.26680,201.05529,-145.35143,Casahouse,-0.79292,-0.10757,11.49500,-0.56964,True,453.58788
181,Barbie,98.68576,0.44507,-95.32797,-1.23492,198.74153,-132.64839,Horses,0.85311,-0.38676,11.66730,-1.94540,True,445.76483
182,Allan,101.29151,0.07437,-100.96619,-1.29328,201.36376,-151.44200,Mojodojo,-0.51723,-1.08844,11.25795,2.10048,True,455.97444
183,Barbie,99.64318,0.05931,-96.31947,-1.28250,199.71121,-145.18508,Beach,1.12957,-0.43459,10.82173,-1.80186,True,450.05615
184,Allan,98.74411,-0.67832,-105.63259,-1.27847,198.81289,-142.51082,Horses,-0.67228,0.22535,12.77973,4.26687,True,440.90428
185,Ken,101.11450,0.94195,-103.86272,-1.29338,201.18506,-150.69841,Mojodojo,0.80626,-1.32829,11.88480,-1.41405,True,453.64115
186,Barbie,98.14190,0.61954,-99.66723,-1.28977,198.21246,-144.80750,Horses,1.82325,1.10468,12.22989,-2.12773,True,440.87587
187,Allan,101.36298,-0.45005,-101.48393,-1.24486,201.42307,-140.08689,Mojodojo,-0.33834,0.78968,10.60176,2.16850,True,456.07292
188,Ken,101.29217,0.96017,-101.39704,-1.27675,201.35987,-148.61109,Mojodojo,-1.81821,-1.65591,14.61820,-0.33436,True,455.76234
